File Name	Game Title	Game ID	Bytes	Amount	Size	Checksum	MD5	Zip	Started	Finished	Taken
singularity_manuals.zip	Singularity™	1207659239	31757669	30 Mb	pass	na	na	pass	2021-12-04 06:20:18	2021-12-04 06:20:18	00:00:00
patch_dying_light_the_following__enhanced_edition_1.44.1_(50174)_to_1.45.0_(50554)-1.bin	Dying Light: The Following – Enhanced Edition	1448452156	1504481899	1.4 Gb	pass	5dbfc40f689312637f41fa7293eac477	pass	na	2021-12-14 22:20:54	2021-12-14 22:22:19	00:01:25
patch_dying_light_the_following__enhanced_edition_1.45.1_(51033)_to_1.46.1_(52044)-1.bin	Dying Light: The Following – Enhanced Edition	1448452156	2555546800	2.38 Gb	pass	83e721b811cda2552e7423653aa91d0c	pass	na	2021-12-14 22:24:50	2021-12-14 22:27:18	00:02:28
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-1.bin	Dying Light: The Following – Enhanced Edition	1448452156	4293657086	4 Gb	pass	8f37df7f51868a183656b45a9b24775c	pass	na	2021-12-14 22:27:18	2021-12-14 22:31:37	00:04:19
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-2.bin	Dying Light: The Following – Enhanced Edition	1448452156	4294967294	4 Gb	pass	5c19ea48500c4876dcfb901616b67ebf	pass	na	2021-12-14 22:31:37	2021-12-14 22:35:35	00:03:58
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-3.bin	Dying Light: The Following – Enhanced Edition	1448452156	4294967294	4 Gb	pass	0c3c045449b25fdbad215337a3f359ef	pass	na	2021-12-14 22:35:35	2021-12-14 22:39:35	00:04:00
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-4.bin	Dying Light: The Following – Enhanced Edition	1448452156	4294967294	4 Gb	pass	d2529220f5899dd2aa1c4f09987970a6	pass	na	2021-12-14 22:39:35	2021-12-14 22:43:35	00:04:00
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-5.bin	Dying Light: The Following – Enhanced Edition	1448452156	4294967294	4 Gb	pass	005ad866786527d8f125de4e2ddbe51a	pass	na	2021-12-14 22:43:35	2021-12-14 22:47:39	00:04:04
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-6.bin	Dying Light: The Following – Enhanced Edition	1448452156	4294967294	4 Gb	pass	2b887c1864160a79a6f5d8683d3e75e9	pass	na	2021-12-14 22:47:39	2021-12-14 22:51:24	00:03:45
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044)-7.bin	Dying Light: The Following – Enhanced Edition	1448452156	1564679013	1.46 Gb	pass	7a55d9c4f68b70ca96f7e0e1b11965f8	pass	na	2021-12-14 22:51:24	2021-12-14 22:52:49	00:01:25
